1495332083
                    extended device statistics              
    r/s    w/s   kr/s   kw/s wait actv wsvc_t asvc_t  %w  %b device
    1.1   17.2   17.8  264.7  0.0  0.1    0.0    5.2   0   9 c0t5000CCA0546345D8d0
    0.9   17.5   18.1  264.7  0.0  0.1    0.0    5.3   0   9 c0t5000CCA054645EACd0
    0.9   14.8   95.7 1087.5  0.0  0.1    0.0    3.4   0   5 c0t60060E8007DC48000030DC480000107Ed0
    0.9   14.8   94.5 1079.1  0.0  0.1    0.0    3.4   0   5 c0t60060E8007DC48000030DC4800001088d0
    0.9   14.8   95.9 1084.0  0.0  0.1    0.0    3.4   0   5 c0t60060E8007DC48000030DC4800001086d0
    0.9   14.8   95.9 1080.2  0.0  0.1    0.0    3.4   0   5 c0t60060E8007DC48000030DC4800001082d0
    0.9   14.8   95.2 1079.5  0.0  0.1    0.0    3.4   0   5 c0t60060E8007DC48000030DC480000107Ad0
    0.9   14.8   95.6 1087.3  0.0  0.1    0.0    3.4   0   5 c0t60060E8007DC48000030DC480000107Fd0
    0.9   14.8   95.4 1079.3  0.0  0.1    0.0    3.4   0   5 c0t60060E8007DC48000030DC4800001081d0
    0.9   14.8   95.4 1078.8  0.0  0.1    0.0    3.4   0   5 c0t60060E8007DC48000030DC4800001085d0
    0.9   14.8   95.4 1079.8  0.0  0.1    0.0    3.4   0   5 c0t60060E8007DC48000030DC4800001074d0
    0.9   14.8   95.1 1078.3  0.0  0.1    0.0    3.4   0   5 c0t60060E8007DC48000030DC4800001079d0
    0.9   14.7   94.9 1069.1  0.0  0.1    0.0    3.4   0   5 c0t60060E8007DC48000030DC4800001084d0
    0.9   14.7   95.3 1072.7  0.0  0.1    0.0    3.4   0   5 c0t60060E8007DC48000030DC480000107Cd0
    0.9   14.8   95.8 1085.5  0.0  0.1    0.0    3.4   0   5 c0t60060E8007DC48000030DC48000004F0d0
    0.9   14.8   94.5 1083.7  0.0  0.1    0.0    3.4   0   5 c0t60060E8007DC48000030DC48000004E9d0
    0.9   14.8   95.4 1077.9  0.0  0.1    0.0    3.4   0   5 c0t60060E8007DC48000030DC48000004EEd0
    0.9   14.8   95.0 1083.3  0.0  0.1    0.0    3.4   0   5 c0t60060E8007DC48000030DC48000004ECd0
    0.9   14.8   94.9 1086.1  0.0  0.1    0.0    3.4   0   5 c0t60060E8007DC48000030DC48000004F3d0
    0.9   14.8   95.9 1078.9  0.0  0.1    0.0    3.4   0   5 c0t60060E8007DC48000030DC48000004FDd0
    0.9   14.8   95.5 1085.1  0.0  0.1    0.0    3.4   0   5 c0t60060E8007DC48000030DC48000004F5d0
    0.9   14.8   95.0 1080.2  0.0  0.1    0.0    3.4   0   5 c0t60060E8007DC48000030DC48000004FBd0
    0.9   14.7   94.1 1076.9  0.0  0.1    0.0    3.4   0   5 c0t60060E8007DC48000030DC48000004EFd0
    0.9   14.8   94.4 1082.7  0.0  0.1    0.0    3.4   0   5 c0t60060E8007DC48000030DC48000004F8d0
    0.9   14.8   95.1 1080.0  0.0  0.1    0.0    3.4   0   5 c0t60060E8007DC48000030DC4800000500d0
    0.9   14.8   95.7 1079.0  0.0  0.1    0.0    3.4   0   5 c0t60060E8007DC48000030DC48000004FFd0
    0.9   14.8   95.5 1078.5  0.0  0.1    0.0    3.4   0   5 c0t60060E8007DC48000030DC48000004EAd0
    0.9   14.8   95.9 1084.5  0.0  0.1    0.0    3.4   0   5 c0t60060E8007DC48000030DC48000004F1d0
    0.9   14.8   95.0 1079.5  0.0  0.1    0.0    3.4   0   5 c0t60060E8007DC48000030DC48000004FCd0
    0.0    0.3    0.0   11.9  0.0  0.0    0.0    0.6   0   0 c0t60060E8007DC48000030DC48000014A8d0
    0.9   14.8   95.7 1079.8  0.0  0.1    0.0    3.4   0   5 c0t60060E8007DC48000030DC48000004F6d0
    0.9   14.8   95.4 1078.7  0.0  0.1    0.0    3.4   0   5 c0t60060E8007DC48000030DC48000004F9d0
    0.9   14.8   95.3 1085.5  0.0  0.1    0.0    3.4   0   5 c0t60060E8007DC48000030DC48000004F4d0
    0.9   14.7   95.3 1077.9  0.0  0.1    0.0    3.4   0   5 c0t60060E8007DC48000030DC48000004FAd0
    0.9   14.8   95.5 1084.4  0.0  0.1    0.0    3.4   0   5 c0t60060E8007DC48000030DC48000004EDd0
    0.9   14.8   95.0 1079.1  0.0  0.1    0.0    3.4   0   5 c0t60060E8007DC48000030DC48000004EBd0
    0.9   14.8   94.6 1079.5  0.0  0.1    0.0    3.4   0   5 c0t60060E8007DC48000030DC48000004FEd0
    0.9   14.7   95.0 1074.3  0.0  0.1    0.0    3.4   0   5 c0t60060E8007DC48000030DC48000004F2d0
    0.9   14.8   95.1 1083.0  0.0  0.1    0.0    3.4   0   5 c0t60060E8007DC48000030DC48000004F7d0
    0.9   14.8   95.2 1084.6  0.0  0.1    0.0    3.4   0   5 c0t60060E8007DC48000030DC48000013E7d0
    0.9   14.8   95.3 1080.8  0.0  0.1    0.0    3.4   0   5 c0t60060E8007DC48000030DC48000013B5d0
    0.9   14.8   95.7 1083.8  0.0  0.1    0.0    3.4   0   5 c0t60060E8007DC48000030DC48000013C2d0
    0.9   14.8   95.7 1081.7  0.0  0.1    0.0    3.4   0   5 c0t60060E8007DC48000030DC48000013A3d0
    0.9   14.7   95.3 1074.1  0.0  0.1    0.0    3.4   0   5 c0t60060E8007DC48000030DC48000013A1d0
    0.9   14.8   95.8 1083.5  0.0  0.1    0.0    3.4   0   5 c0t60060E8007DC48000030DC48000013BEd0
